2025-11-27 17:45:10.617741 | Parse Error: Unterminated string starting at: line 1 column 136 (char 135) | {"timestamp": "2025-11-02 09:14:01", "host": "web01", "os": "Linux", "software": "sshd", "version": "N/A", "event_type": "auth_event", "mes
2025-12-03 05:12:24.373048 | localhost:27017: [WinError 10061] No connection could be made because the target machine actively refused it (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms), Timeout: 30s, Topology Description: <TopologyDescription id: 692f79391c5bfb19b696bda1, topology_type: Unknown, servers: [<ServerDescription ('localhost', 27017) server_type: Unknown, rtt: None, error=AutoReconnect('localhost:27017: [WinError 10061] No connection could be made because the target machine actively refused it (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]> | {"timestamp": "2025-11-01 00:00:00", "host": "server2", "os": "Linux", "software": "Networkd", "version": "N/A", "event_type": "syslog_event", "message": "audit: type=LOGIN msg='op=login id=5566'", "source": "syslog"}
2025-12-03 05:12:26.400147 | localhost:27017: [WinError 10061] No connection could be made because the target machine actively refused it (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms), Timeout: 30s, Topology Description: <TopologyDescription id: 692f79391c5bfb19b696bda1, topology_type: Unknown, servers: [<ServerDescription ('localhost', 27017) server_type: Unknown, rtt: None, error=AutoReconnect('localhost:27017: [WinError 10061] No connection could be made because the target machine actively refused it (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]> | {"timestamp": "2025-11-01 00:00:00", "host": "server2", "os": "Linux", "software": "Networkd", "version": "N/A", "event_type": "syslog_event", "message": "audit: type=LOGIN msg='op=login id=5566'", "source": "syslog"}
2025-12-03 05:12:54.454587 | localhost:27017: [WinError 10061] No connection could be made because the target machine actively refused it (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms), Timeout: 30s, Topology Description: <TopologyDescription id: 692f79391c5bfb19b696bda1, topology_type: Unknown, servers: [<ServerDescription ('localhost', 27017) server_type: Unknown, rtt: None, error=AutoReconnect('localhost:27017: [WinError 10061] No connection could be made because the target machine actively refused it (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]> | {"timestamp": "2025-11-01 00:00:04", "host": "mail1", "os": "Linux", "software": "Rsyslog", "version": "N/A", "event_type": "syslog_event", "message": "cron[1234]: (root) CMD (run-parts /etc/cron.daily)", "source": "syslog"}
2025-12-03 05:12:56.499058 | localhost:27017: [WinError 10061] No connection could be made because the target machine actively refused it (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms), Timeout: 30s, Topology Description: <TopologyDescription id: 692f79391c5bfb19b696bda1, topology_type: Unknown, servers: [<ServerDescription ('localhost', 27017) server_type: Unknown, rtt: None, error=AutoReconnect('localhost:27017: [WinError 10061] No connection could be made because the target machine actively refused it (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]> | {"timestamp": "2025-11-01 00:00:04", "host": "mail1", "os": "Linux", "software": "Rsyslog", "version": "N/A", "event_type": "syslog_event", "message": "cron[1234]: (root) CMD (run-parts /etc/cron.daily)", "source": "syslog"}
2025-12-03 05:13:24.545859 | localhost:27017: [WinError 10061] No connection could be made because the target machine actively refused it (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms), Timeout: 30s, Topology Description: <TopologyDescription id: 692f79391c5bfb19b696bda1, topology_type: Unknown, servers: [<ServerDescription ('localhost', 27017) server_type: Unknown, rtt: None, error=AutoReconnect('localhost:27017: [WinError 10061] No connection could be made because the target machine actively refused it (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]> | {"timestamp": "2025-11-01 00:00:08", "host": "server2", "os": "Linux", "software": "sshd", "version": "N/A", "event_type": "syslog_event", "message": "cron[1234]: (root) CMD (run-parts /etc/cron.daily)", "source": "syslog"}
2025-12-03 05:13:26.579942 | localhost:27017: [WinError 10061] No connection could be made because the target machine actively refused it (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms), Timeout: 30s, Topology Description: <TopologyDescription id: 692f79391c5bfb19b696bda1, topology_type: Unknown, servers: [<ServerDescription ('localhost', 27017) server_type: Unknown, rtt: None, error=AutoReconnect('localhost:27017: [WinError 10061] No connection could be made because the target machine actively refused it (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]> | {"timestamp": "2025-11-01 00:00:08", "host": "server2", "os": "Linux", "software": "sshd", "version": "N/A", "event_type": "syslog_event", "message": "cron[1234]: (root) CMD (run-parts /etc/cron.daily)", "source": "syslog"}
2025-12-03 05:13:54.611245 | localhost:27017: [WinError 10061] No connection could be made because the target machine actively refused it (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms), Timeout: 30s, Topology Description: <TopologyDescription id: 692f79391c5bfb19b696bda1, topology_type: Unknown, servers: [<ServerDescription ('localhost', 27017) server_type: Unknown, rtt: None, error=AutoReconnect('localhost:27017: [WinError 10061] No connection could be made because the target machine actively refused it (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]> | {"timestamp": "2025-11-01 00:00:12", "host": "mail1", "os": "Linux", "software": "cron", "version": "N/A", "event_type": "syslog_event", "message": "kernel: [    0.000000] CPU0: Thermal monitoring enabled", "source": "syslog"}
2025-12-03 05:13:56.662947 | localhost:27017: [WinError 10061] No connection could be made because the target machine actively refused it (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms), Timeout: 30s, Topology Description: <TopologyDescription id: 692f79391c5bfb19b696bda1, topology_type: Unknown, servers: [<ServerDescription ('localhost', 27017) server_type: Unknown, rtt: None, error=AutoReconnect('localhost:27017: [WinError 10061] No connection could be made because the target machine actively refused it (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]> | {"timestamp": "2025-11-01 00:00:12", "host": "mail1", "os": "Linux", "software": "cron", "version": "N/A", "event_type": "syslog_event", "message": "kernel: [    0.000000] CPU0: Thermal monitoring enabled", "source": "syslog"}
2025-12-03 05:14:24.735230 | localhost:27017: [WinError 10061] No connection could be made because the target machine actively refused it (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms), Timeout: 30s, Topology Description: <TopologyDescription id: 692f79391c5bfb19b696bda1, topology_type: Unknown, servers: [<ServerDescription ('localhost', 27017) server_type: Unknown, rtt: None, error=AutoReconnect('localhost:27017: [WinError 10061] No connection could be made because the target machine actively refused it (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]> | {"timestamp": "2025-11-01 00:00:17", "host": "mail1", "os": "Linux", "software": "Networkd", "version": "N/A", "event_type": "syslog_event", "message": "cron[1234]: (root) CMD (run-parts /etc/cron.daily)", "source": "syslog"}
2025-12-03 05:14:26.749466 | localhost:27017: [WinError 10061] No connection could be made because the target machine actively refused it (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms), Timeout: 30s, Topology Description: <TopologyDescription id: 692f79391c5bfb19b696bda1, topology_type: Unknown, servers: [<ServerDescription ('localhost', 27017) server_type: Unknown, rtt: None, error=AutoReconnect('localhost:27017: [WinError 10061] No connection could be made because the target machine actively refused it (configured timeouts: socketTimeoutMS: 20000.0ms, connectTimeoutMS: 20000.0ms)')>]> | {"timestamp": "2025-11-01 00:00:17", "host": "mail1", "os": "Linux", "software": "Networkd", "version": "N/A", "event_type": "syslog_event", "message": "cron[1234]: (root) CMD (run-parts /etc/cron.daily)", "source": "syslog"}
